District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Date,Latitude,Longitude,Day,Month,WeekDay,Hour
LUCKNOW,P01042100004,C1,PS1,PHONE,Information Against Police,Misbehavior By Prv,01/04/2021 00:00:00,26.834,81.008,2021-04-01,4,5,0
LUCKNOW,P01042104316,C1,PS1,PHONE,Threat In Person,Attack,01/04/2021 12:09:00,26.828,81.014,2021-04-01,4,5,12
LUCKNOW,P01042104847,C1,PS1,PHONE,Dispute,Dispute In Hospital,01/04/2021 12:51:00,26.84,81.009,2021-04-01,4,5,12
LUCKNOW,P01042105074,C1,PS1,PHONE,Gambling,Play Cards,01/04/2021 13:10:00,26.828,81.002,2021-04-01,4,5,13
LUCKNOW,P01042105152,C1,PS1,PHONE,Threat In Person,Attack,01/04/2021 13:18:00,26.834,81.033,2021-04-01,4,5,13
LUCKNOW,P01042105910,C1,PS1,PHONE,Missing,Grp- Person Accident By Train,01/04/2021 14:19:00,26.826,81.011,2021-04-01,4,5,14
LUCKNOW,P01042106298,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,01/04/2021 14:51:00,26.835,81.008,2021-04-01,4,5,14
LUCKNOW,P01042106686,C1,PS1,PHONE,Theft,Gold Shop,01/04/2021 15:25:00,26.839,81.026,2021-04-01,4,5,15
LUCKNOW,P01042109479,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,01/04/2021 19:45:00,26.835,81.026,2021-04-01,4,5,19
LUCKNOW,P01042110068,C1,PS1,PHONE,Dispute,Money Transactions Dispute,01/04/2021 20:31:00,26.841,81.015,2021-04-01,4,5,20
LUCKNOW,P01042110781,C1,PS1,PHONE,Dispute,Money Transactions Dispute,01/04/2021 21:20:00,26.835,81.008,2021-04-01,4,5,21
LUCKNOW,P01042111576,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,01/04/2021 22:14:00,26.833,81.026,2021-04-01,4,5,22
LUCKNOW,P01042112778,C1,PS1,PHONE,Threat In Person,Threatening To Kill,01/04/2021 23:51:00,26.835,81.014,2021-04-01,4,5,23
LUCKNOW,P02042104813,C1,PS1,PHONE,Threat In Person,Threatening To Kill,02/04/2021 13:05:00,26.838,81.009,2021-04-02,4,6,13
LUCKNOW,P02042106822,C1,PS1,PHONE,Threat In Person,Threatening To Kill,02/04/2021 15:56:00,26.846,81.061,2021-04-02,4,6,15
LUCKNOW,P02042107983,C1,PS1,PHONE,Property Disputes,House Capture,02/04/2021 17:43:00,26.844,81.031,2021-04-02,4,6,17
LUCKNOW,P02042107998,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By,02/04/2021 17:44:00,26.845,81.042,2021-04-02,4,6,17
LUCKNOW,P02042108844,C1,PS1,PHONE,Property Disputes,Boundary Dispute,02/04/2021 19:01:00,26.845,81.031,2021-04-02,4,6,19
LUCKNOW,P02042109110,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,02/04/2021 19:25:00,26.843,81.016,2021-04-02,4,6,19
LUCKNOW,P02042110067,C1,PS1,PHONE,Dispute,Other Dispute,02/04/2021 20:45:00,26.842,81.016,2021-04-02,4,6,20
LUCKNOW,P02042111034,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,02/04/2021 21:50:00,26.841,81.01,2021-04-02,4,6,21
LUCKNOW,P02042112483,C1,PS1,PHONE,Theft,Other Location,02/04/2021 23:26:00,26.831,81.045,2021-04-02,4,6,23
LUCKNOW,P02042112668,C1,PS1,PHONE,Threat In Person,Attack,02/04/2021 23:46:00,26.832,80.999,2021-04-02,4,6,23
LUCKNOW,P03042100124,C1,PS1,PHONE,Theft,Two Wheeler Vehicle,03/04/2021 00:20:00,26.825,81.012,2021-04-03,4,7,0
LUCKNOW,P03042100442,C1,PS1,PHONE,Illegal Mining,Illegal Mining Land,03/04/2021 01:20:00,26.834,81.031,2021-04-03,4,7,1
LUCKNOW,P03042101913,C1,PS1,PHONE,Suicide,By Hanging,03/04/2021 08:40:00,26.84,81.025,2021-04-03,4,7,8
LUCKNOW,P03042102094,C1,PS1,PHONE,Dispute,Money Transactions Dispute,03/04/2021 08:57:00,26.836,81.022,2021-04-03,4,7,8
LUCKNOW,P03042102141,C1,PS1,PHONE,Suicide,By Hanging,03/04/2021 09:02:00,26.839,81.026,2021-04-03,4,7,9
LUCKNOW,P03042102919,C1,PS1,PHONE,Theft,Other Location,03/04/2021 10:20:00,26.839,81.026,2021-04-03,4,7,10
LUCKNOW,P03042102973,C1,PS1,PHONE,Theft,Residential Building,03/04/2021 10:26:00,26.848,81.048,2021-04-03,4,7,10
LUCKNOW,P03042108860,C1,PS1,PHONE,Dispute,Other Dispute,03/04/2021 19:44:00,26.833,81.036,2021-04-03,4,7,19
LUCKNOW,P03042109069,C1,PS1,PHONE,Dispute,Other Dispute,03/04/2021 20:02:00,26.843,81.024,2021-04-03,4,7,20
LUCKNOW,P03042110548,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,03/04/2021 22:28:00,26.839,81.026,2021-04-03,4,7,22
LUCKNOW,P03042111216,C1,PS1,PHONE,Dispute,Other Dispute,03/04/2021 22:59:00,26.84,81.025,2021-04-03,4,7,22
LUCKNOW,P03042111699,C1,PS1,PHONE,Threat In Person,Attack,03/04/2021 23:32:00,26.838,81.038,2021-04-03,4,7,23
LUCKNOW,P03042111732,C1,PS1,PHONE,Threat In Person,Threatening To Kill,03/04/2021 23:35:00,26.831,81.052,2021-04-03,4,7,23
LUCKNOW,P04042100035,C1,PS1,PHONE,Threat In Person,Threatening To Kill,04/04/2021 00:03:00,26.827,81.042,2021-04-04,4,1,0
LUCKNOW,P04042100052,C1,PS1,PHONE,Threat In Person,Threatening To Kill,04/04/2021 00:05:00,26.831,81.052,2021-04-04,4,1,0
LUCKNOW,P04042101157,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,04/04/2021 04:16:00,26.841,81.001,2021-04-04,4,1,4
LUCKNOW,P04042101421,C1,PS1,PHONE,Threat In Person,Attack,04/04/2021 05:47:00,26.835,81.007,2021-04-04,4,1,5
LUCKNOW,P04042102030,C1,PS1,PHONE,Dispute,Money Transactions Dispute,04/04/2021 07:25:00,26.836,81.022,2021-04-04,4,1,7
LUCKNOW,P04042102305,C1,PS1,PHONE,Theft,Residential Building,04/04/2021 07:56:00,26.847,81.039,2021-04-04,4,1,7
LUCKNOW,P04042104429,C1,PS1,PHONE,Dispute,Money Transactions Dispute,04/04/2021 10:57:00,26.851,81.049,2021-04-04,4,1,10
LUCKNOW,P04042107646,C1,PS1,PHONE,Cyber Crimes,Bank Account Hacking,04/04/2021 14:35:00,26.837,81.024,2021-04-04,4,1,14
LUCKNOW,P04042108639,C1,PS1,PHONE,Theft,Residential Building,04/04/2021 15:48:00,26.825,81.028,2021-04-04,4,1,15
LUCKNOW,P04042112855,C1,PS1,PHONE,Female Sexual Harrassment,Teasing On Public Place,04/04/2021 21:28:00,26.841,81.022,2021-04-04,4,1,21
LUCKNOW,P04042113508,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,04/04/2021 22:04:00,26.847,81.06,2021-04-04,4,1,22
LUCKNOW,P05042100564,C1,PS1,PHONE,Threat In Person,Attack,05/04/2021 01:38:00,26.838,80.989,2021-04-05,4,2,1
LUCKNOW,P05042104955,C1,PS1,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,05/04/2021 12:54:00,26.843,81.025,2021-04-05,4,2,12
LUCKNOW,P05042105023,C1,PS1,PHONE,Dispute,Other Dispute,05/04/2021 13:02:00,26.845,81.02,2021-04-05,4,2,13
LUCKNOW,P05042105414,C1,PS1,PHONE,Threat In Person,Threatening To Kill,05/04/2021 13:40:00,26.842,81.029,2021-04-05,4,2,13
LUCKNOW,P05042106467,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,05/04/2021 15:24:00,26.825,81.012,2021-04-05,4,2,15
LUCKNOW,P05042108794,C1,PS1,PHONE,Encroachment,Government Land,05/04/2021 19:05:00,26.836,81.01,2021-04-05,4,2,19
