,Circle,Police Station,Event Type,Create Date/Time
0,C1,PS1,Information Against Police,2021-04-01 00:00:00
1,C1,PS1,Threat In Person,2021-04-01 12:09:00
2,C1,PS1,Dispute,2021-04-01 12:51:00
4,C1,PS1,Threat In Person,2021-04-01 13:18:00
5,C1,PS1,Missing,2021-04-01 14:19:00
6,C1,PS1,Information Against Police,2021-04-01 14:51:00
7,C1,PS1,Theft,2021-04-01 15:25:00
8,C1,PS1,Dispute,2021-04-01 19:45:00
9,C1,PS1,Dispute,2021-04-01 20:31:00
10,C1,PS1,Dispute,2021-04-01 21:20:00
11,C1,PS1,Domestic Violence,2021-04-01 22:14:00
12,C1,PS1,Threat In Person,2021-04-01 23:51:00
13,C1,PS1,Threat In Person,2021-04-02 13:05:00
14,C1,PS1,Threat In Person,2021-04-02 15:56:00
15,C1,PS1,Property Disputes,2021-04-02 17:43:00
16,C1,PS1,Information Against Police,2021-04-02 17:44:00
17,C1,PS1,Property Disputes,2021-04-02 19:01:00
18,C1,PS1,Domestic Violence,2021-04-02 19:25:00
19,C1,PS1,Dispute,2021-04-02 20:45:00
20,C1,PS1,Domestic Violence,2021-04-02 21:50:00
21,C1,PS1,Theft,2021-04-02 23:26:00
22,C1,PS1,Threat In Person,2021-04-02 23:46:00
23,C1,PS1,Theft,2021-04-03 00:20:00
24,C1,PS1,Illegal Mining,2021-04-03 01:20:00
25,C1,PS1,Suicide,2021-04-03 08:40:00
26,C1,PS1,Dispute,2021-04-03 08:57:00
27,C1,PS1,Suicide,2021-04-03 09:02:00
28,C1,PS1,Theft,2021-04-03 10:20:00
29,C1,PS1,Theft,2021-04-03 10:26:00
30,C1,PS1,Dispute,2021-04-03 19:44:00
31,C1,PS1,Dispute,2021-04-03 20:02:00
32,C1,PS1,Domestic Violence,2021-04-03 22:28:00
33,C1,PS1,Dispute,2021-04-03 22:59:00
34,C1,PS1,Threat In Person,2021-04-03 23:32:00
35,C1,PS1,Threat In Person,2021-04-03 23:35:00
36,C1,PS1,Threat In Person,2021-04-04 00:03:00
37,C1,PS1,Threat In Person,2021-04-04 00:05:00
38,C1,PS1,Domestic Violence,2021-04-04 04:16:00
39,C1,PS1,Threat In Person,2021-04-04 05:47:00
40,C1,PS1,Dispute,2021-04-04 07:25:00
41,C1,PS1,Theft,2021-04-04 07:56:00
42,C1,PS1,Dispute,2021-04-04 10:57:00
44,C1,PS1,Cyber Crimes,2021-04-04 14:35:00
45,C1,PS1,Theft,2021-04-04 15:48:00
46,C1,PS1,Female Sexual Harrassment,2021-04-04 21:28:00
48,C1,PS1,Domestic Violence,2021-04-04 22:04:00
49,C1,PS1,Threat In Person,2021-04-05 01:38:00
50,C1,PS1,Domestic Violence,2021-04-05 12:54:00
51,C1,PS1,Dispute,2021-04-05 13:02:00
52,C1,PS1,Threat In Person,2021-04-05 13:40:00
53,C1,PS1,Domestic Violence,2021-04-05 15:24:00
54,C1,PS1,Encroachment,2021-04-05 19:05:00
55,C1,PS1,Crime On Phone Mobile Social Media Internet,2021-04-05 22:07:00
56,C1,PS1,Threat In Person,2021-04-06 00:05:00
57,C1,PS1,Dispute,2021-04-06 00:19:00
60,C1,PS1,Threat In Person,2021-04-06 11:18:00
61,C1,PS1,Domestic Violence,2021-04-06 18:19:00
62,C1,PS1,Dispute,2021-04-06 22:00:00
64,C1,PS1,Domestic Violence,2021-04-06 23:04:00
65,C1,PS1,Domestic Violence,2021-04-06 23:54:00
66,C1,PS1,Theft,2021-04-07 06:42:00
67,C1,PS1,Missing,2021-04-07 09:24:00
68,C1,PS1,Property Disputes,2021-04-07 12:14:00
69,C1,PS1,Theft,2021-04-07 12:24:00
70,C1,PS1,Animals Related,2021-04-07 14:49:00
71,C1,PS1,Robbery,2021-04-07 18:13:00
73,C1,PS1,Dispute,2021-04-07 20:18:00
