,Circle,Police Station,Event Type,Create Date/Time
0,C1,PS1,Information Against Police,01-04-2021 00:00
1,C1,PS1,Threat In Person,01-04-2021 12:09
2,C1,PS1,Dispute,01-04-2021 12:51
4,C1,PS1,Threat In Person,01-04-2021 13:18
5,C1,PS1,Missing,01-04-2021 14:19
6,C1,PS1,Information Against Police,01-04-2021 14:51
7,C1,PS1,Theft,01-04-2021 15:25
8,C1,PS1,Dispute,01-04-2021 19:45
9,C1,PS1,Dispute,01-04-2021 20:31
10,C1,PS1,Dispute,01-04-2021 21:20
11,C1,PS1,Domestic Violence,01-04-2021 22:14
12,C1,PS1,Threat In Person,01-04-2021 23:51
13,C1,PS1,Threat In Person,02-04-2021 13:05
14,C1,PS1,Threat In Person,02-04-2021 15:56
15,C1,PS1,Property Disputes,02-04-2021 17:43
16,C1,PS1,Information Against Police,02-04-2021 17:44
17,C1,PS1,Property Disputes,02-04-2021 19:01
18,C1,PS1,Domestic Violence,02-04-2021 19:25
19,C1,PS1,Dispute,02-04-2021 20:45
20,C1,PS1,Domestic Violence,02-04-2021 21:50
21,C1,PS1,Theft,02-04-2021 23:26
22,C1,PS1,Threat In Person,02-04-2021 23:46
23,C1,PS1,Theft,03-04-2021 00:20
24,C1,PS1,Illegal Mining,03-04-2021 01:20
25,C1,PS1,Suicide,03-04-2021 08:40
26,C1,PS1,Dispute,03-04-2021 08:57
27,C1,PS1,Suicide,03-04-2021 09:02
28,C1,PS1,Theft,03-04-2021 10:20
29,C1,PS1,Theft,03-04-2021 10:26
30,C1,PS1,Dispute,03-04-2021 19:44
31,C1,PS1,Dispute,03-04-2021 20:02
32,C1,PS1,Domestic Violence,03-04-2021 22:28
33,C1,PS1,Dispute,03-04-2021 22:59
34,C1,PS1,Threat In Person,03-04-2021 23:32
35,C1,PS1,Threat In Person,03-04-2021 23:35
36,C1,PS1,Threat In Person,04-04-2021 00:03
37,C1,PS1,Threat In Person,04-04-2021 00:05
38,C1,PS1,Domestic Violence,04-04-2021 04:16
39,C1,PS1,Threat In Person,04-04-2021 05:47
40,C1,PS1,Dispute,04-04-2021 07:25
41,C1,PS1,Theft,04-04-2021 07:56
42,C1,PS1,Dispute,04-04-2021 10:57
43,C1,PS1,Corona,04-04-2021 12:38
44,C1,PS1,Cyber Crimes,04-04-2021 14:35
45,C1,PS1,Theft,04-04-2021 15:48
46,C1,PS1,Female Sexual Harrassment,04-04-2021 21:28
48,C1,PS1,Domestic Violence,04-04-2021 22:04
49,C1,PS1,Threat In Person,05-04-2021 01:38
50,C1,PS1,Domestic Violence,05-04-2021 12:54
51,C1,PS1,Dispute,05-04-2021 13:02
52,C1,PS1,Threat In Person,05-04-2021 13:40
53,C1,PS1,Domestic Violence,05-04-2021 15:24
54,C1,PS1,Encroachment,05-04-2021 19:05
55,C1,PS1,Crime On Phone Mobile Social Media Internet,05-04-2021 22:07
56,C1,PS1,Threat In Person,06-04-2021 00:05
57,C1,PS1,Dispute,06-04-2021 00:19
60,C1,PS1,Threat In Person,06-04-2021 11:18
61,C1,PS1,Domestic Violence,06-04-2021 18:19
62,C1,PS1,Dispute,06-04-2021 22:00
64,C1,PS1,Domestic Violence,06-04-2021 23:04
65,C1,PS1,Domestic Violence,06-04-2021 23:54
66,C1,PS1,Theft,07-04-2021 06:42
67,C1,PS1,Missing,07-04-2021 09:24
68,C1,PS1,Property Disputes,07-04-2021 12:14
69,C1,PS1,Theft,07-04-2021 12:24
70,C1,PS1,Animals Related,07-04-2021 14:49
71,C1,PS1,Robbery,07-04-2021 18:13
72,C1,PS1,Corona,07-04-2021 18:46
73,C1,PS1,Dispute,07-04-2021 20:18
74,C1,PS1,Crime On Phone Mobile Social Media Internet,07-04-2021 20:22
75,C1,PS1,Dispute,07-04-2021 22:55
76,C1,PS1,Threat In Person,08-04-2021 03:08
77,C1,PS1,Dispute,08-04-2021 10:12
78,C1,PS1,Threat In Person,08-04-2021 11:08
79,C1,PS1,Threat In Person,08-04-2021 15:40
80,C1,PS1,Domestic Violence,08-04-2021 21:16
81,C1,PS1,Dispute,08-04-2021 22:29
82,C1,PS1,Dispute,09-04-2021 14:40
83,C1,PS1,Threat In Person,09-04-2021 17:41
85,C1,PS1,Dispute,09-04-2021 18:06
86,C1,PS1,Information Against Police,09-04-2021 18:28
87,C1,PS1,Corona,09-04-2021 20:55
88,C1,PS1,Robbery,09-04-2021 21:05
89,C1,PS1,Theft,09-04-2021 21:28
90,C1,PS1,Dispute,09-04-2021 22:21
91,C1,PS1,Threat In Person,10-04-2021 00:06
93,C1,PS1,Dispute,10-04-2021 11:10
94,C1,PS1,Dispute,10-04-2021 16:26
95,C1,PS1,Information Against Police,10-04-2021 17:13
96,C1,PS1,Theft,10-04-2021 22:18
98,C1,PS1,Illegal Mining,11-04-2021 01:02
99,C1,PS1,Corona,11-04-2021 10:08
100,C1,PS1,Dispute,11-04-2021 10:32
101,C1,PS1,Dispute,11-04-2021 11:46
102,C1,PS1,Threat In Person,11-04-2021 14:10
103,C1,PS1,Dispute,11-04-2021 17:37
104,C1,PS1,Dispute,11-04-2021 18:17
105,C1,PS1,Dispute,11-04-2021 21:59
107,C1,PS1,Dispute,12-04-2021 00:11
108,C1,PS1,Dispute,12-04-2021 08:43
109,C1,PS1,Domestic Violence,12-04-2021 10:43
110,C1,PS1,Threat In Person,12-04-2021 12:18
111,C1,PS1,Threat In Person,12-04-2021 14:06
112,C1,PS1,Domestic Violence,12-04-2021 16:14
113,C1,PS1,Dispute,12-04-2021 17:02
114,C1,PS1,Dispute,12-04-2021 18:10
115,C1,PS1,Dispute,12-04-2021 19:53
116,C1,PS1,Dispute,12-04-2021 21:55
117,C1,PS1,Information Against Police,12-04-2021 22:17
118,C1,PS1,Dispute,12-04-2021 22:18
119,C1,PS1,Dispute,12-04-2021 23:20
120,C1,PS1,Information Against Police,12-04-2021 23:29
121,C1,PS1,Corona,13-04-2021 00:34
122,C1,PS1,Threat In Person,13-04-2021 08:01
123,C1,PS1,Threat In Person,13-04-2021 09:32
124,C1,PS1,Threat In Person,13-04-2021 10:26
125,C1,PS1,Dispute,13-04-2021 12:42
126,C1,PS1,Dispute,13-04-2021 13:08
127,C1,PS1,Dispute,13-04-2021 19:29
128,C1,PS1,Dispute,13-04-2021 19:32
130,C1,PS1,Dispute,13-04-2021 20:12
131,C1,PS1,Corona,13-04-2021 21:52
133,C1,PS1,Theft,14-04-2021 09:57
134,C1,PS1,Missing,14-04-2021 10:25
135,C1,PS1,Encroachment,14-04-2021 11:55
136,C1,PS1,Threat In Person,14-04-2021 13:01
137,C1,PS1,Crime On Phone Mobile Social Media Internet,14-04-2021 13:12
138,C1,PS1,Dispute,14-04-2021 15:13
139,C1,PS1,Female Sexual Harrassment,14-04-2021 16:37
141,C1,PS1,Corona,15-04-2021 07:21
142,C1,PS1,Dispute,15-04-2021 09:25
143,C1,PS1,Dispute,15-04-2021 11:51
144,C1,PS1,Domestic Violence,15-04-2021 13:57
145,C1,PS1,Domestic Violence,15-04-2021 13:59
146,C1,PS1,Dispute,15-04-2021 14:10
147,C1,PS1,Dispute,15-04-2021 16:47
148,C1,PS1,Information Against Other Government Departments,15-04-2021 21:16
150,C1,PS1,Dispute,15-04-2021 22:39
151,C1,PS1,Dispute,16-04-2021 09:24
152,C1,PS1,Theft,16-04-2021 13:35
153,C1,PS1,Threat In Person,16-04-2021 15:00
155,C1,PS1,Threat In Person,16-04-2021 17:40
156,C1,PS1,Dispute,16-04-2021 18:37
157,C1,PS1,Corona,16-04-2021 19:35
158,C1,PS1,Information Against Police,16-04-2021 19:37
159,C1,PS1,Threat In Person,16-04-2021 21:44
160,C1,PS1,Threat In Person,16-04-2021 21:50
161,C1,PS1,Dispute,16-04-2021 23:06
163,C1,PS1,Theft,17-04-2021 08:31
164,C1,PS1,Domestic Violence,17-04-2021 08:38
165,C1,PS1,Dispute,17-04-2021 08:39
166,C1,PS1,Domestic Violence,17-04-2021 10:14
167,C1,PS1,Dispute,17-04-2021 12:26
168,C1,PS1,Theft,17-04-2021 13:42
169,C1,PS1,Property Disputes,17-04-2021 14:33
170,C1,PS1,Dispute,17-04-2021 14:45
171,C1,PS1,Threat In Person,17-04-2021 15:44
172,C1,PS1,Dispute,17-04-2021 18:25
174,C1,PS1,Illegal Mining,17-04-2021 22:56
175,C1,PS1,Information Against Police,17-04-2021 22:57
176,C1,PS1,Dispute,18-04-2021 03:46
179,C1,PS1,Corona,18-04-2021 13:40
180,C1,PS1,Domestic Violence,18-04-2021 14:15
182,C1,PS1,Corona,18-04-2021 19:04
183,C1,PS1,Corona,18-04-2021 22:01
184,C1,PS1,Corona,18-04-2021 22:18
189,C1,PS1,Corona,19-04-2021 08:51
190,C1,PS1,Medium Fire,19-04-2021 15:31
