Circle,Police Station,Event Type,Create Date/Time
C1,PS1,Information Against Police,01-04-2021 00:00
C1,PS1,Threat In Person,01-04-2021 12:09
C1,PS1,Dispute,01-04-2021 12:51
C1,PS1,Gambling,01-04-2021 13:10
C1,PS1,Threat In Person,01-04-2021 13:18
C1,PS1,Missing,01-04-2021 14:19
C1,PS1,Information Against Police,01-04-2021 14:51
C1,PS1,Theft,01-04-2021 15:25
C1,PS1,Dispute,01-04-2021 19:45
C1,PS1,Dispute,01-04-2021 20:31
C1,PS1,Dispute,01-04-2021 21:20
C1,PS1,Domestic Violence,01-04-2021 22:14
C1,PS1,Threat In Person,01-04-2021 23:51
C1,PS1,Threat In Person,02-04-2021 13:05
C1,PS1,Threat In Person,02-04-2021 15:56
C1,PS1,Property Disputes,02-04-2021 17:43
C1,PS1,Information Against Police,02-04-2021 17:44
C1,PS1,Property Disputes,02-04-2021 19:01
C1,PS1,Domestic Violence,02-04-2021 19:25
C1,PS1,Dispute,02-04-2021 20:45
C1,PS1,Domestic Violence,02-04-2021 21:50
C1,PS1,Theft,02-04-2021 23:26
C1,PS1,Threat In Person,02-04-2021 23:46
C1,PS1,Theft,03-04-2021 00:20
C1,PS1,Illegal Mining,03-04-2021 01:20
C1,PS1,Suicide,03-04-2021 08:40
C1,PS1,Dispute,03-04-2021 08:57
C1,PS1,Suicide,03-04-2021 09:02
C1,PS1,Theft,03-04-2021 10:20
C1,PS1,Theft,03-04-2021 10:26
C1,PS1,Dispute,03-04-2021 19:44
C1,PS1,Dispute,03-04-2021 20:02
C1,PS1,Domestic Violence,03-04-2021 22:28
C1,PS1,Dispute,03-04-2021 22:59
C1,PS1,Threat In Person,03-04-2021 23:32
C1,PS1,Threat In Person,03-04-2021 23:35
C1,PS1,Threat In Person,04-04-2021 00:03
C1,PS1,Threat In Person,04-04-2021 00:05
C1,PS1,Domestic Violence,04-04-2021 04:16
C1,PS1,Threat In Person,04-04-2021 05:47
C1,PS1,Dispute,04-04-2021 07:25
C1,PS1,Theft,04-04-2021 07:56
C1,PS1,Dispute,04-04-2021 10:57
C1,PS1,Cyber Crimes,04-04-2021 14:35
C1,PS1,Theft,04-04-2021 15:48
C1,PS1,Female Sexual Harrassment,04-04-2021 21:28
C1,PS1,Domestic Violence,04-04-2021 22:04
C1,PS1,Threat In Person,05-04-2021 01:38
C1,PS1,Domestic Violence,05-04-2021 12:54
C1,PS1,Dispute,05-04-2021 13:02
C1,PS1,Threat In Person,05-04-2021 13:40
C1,PS1,Domestic Violence,05-04-2021 15:24
C1,PS1,Encroachment,05-04-2021 19:05
C1,PS1,Crime On Phone Mobile Social Media Internet,05-04-2021 22:07
C1,PS1,Threat In Person,06-04-2021 00:05
C1,PS1,Dispute,06-04-2021 00:19
C1,PS1,Threat In Person,06-04-2021 11:18
C1,PS1,Domestic Violence,06-04-2021 18:19
C1,PS1,Dispute,06-04-2021 22:00
C1,PS1,Domestic Violence,06-04-2021 23:04
C1,PS1,Domestic Violence,06-04-2021 23:54
C1,PS1,Theft,07-04-2021 06:42
C1,PS1,Missing,07-04-2021 09:24
C1,PS1,Property Disputes,07-04-2021 12:14
C1,PS1,Theft,07-04-2021 12:24
C1,PS1,Animals Related,07-04-2021 14:49
C1,PS1,Robbery,07-04-2021 18:13
C1,PS1,Dispute,07-04-2021 20:18
C1,PS1,Crime On Phone Mobile Social Media Internet,07-04-2021 20:22
C1,PS1,Dispute,07-04-2021 22:55
C1,PS1,Threat In Person,08-04-2021 03:08
C1,PS1,Dispute,08-04-2021 10:12
C1,PS1,Threat In Person,08-04-2021 11:08
C1,PS1,Threat In Person,08-04-2021 15:40
C1,PS1,Domestic Violence,08-04-2021 21:16
C1,PS1,Dispute,08-04-2021 22:29
C1,PS1,Dispute,09-04-2021 14:40
C1,PS1,Threat In Person,09-04-2021 17:41
C1,PS1,Dispute,09-04-2021 18:06
C1,PS1,Information Against Police,09-04-2021 18:28
C1,PS1,Robbery,09-04-2021 21:05
C1,PS1,Theft,09-04-2021 21:28
C1,PS1,Dispute,09-04-2021 22:21
C1,PS1,Threat In Person,10-04-2021 00:06
C1,PS1,Dispute,10-04-2021 11:10
C1,PS1,Dispute,10-04-2021 16:26
C1,PS1,Information Against Police,10-04-2021 17:13
C1,PS1,Theft,10-04-2021 22:18
C1,PS1,Illegal Mining,11-04-2021 01:02
C1,PS1,Dispute,11-04-2021 10:32
C1,PS1,Dispute,11-04-2021 11:46
C1,PS1,Threat In Person,11-04-2021 14:10
C1,PS1,Dispute,11-04-2021 17:37
C1,PS1,Dispute,11-04-2021 18:17
C1,PS1,Dispute,11-04-2021 21:59
C1,PS1,Dispute,12-04-2021 00:11
C1,PS1,Dispute,12-04-2021 08:43
C1,PS1,Domestic Violence,12-04-2021 10:43
C1,PS1,Threat In Person,12-04-2021 12:18
C1,PS1,Threat In Person,12-04-2021 14:06
C1,PS1,Domestic Violence,12-04-2021 16:14
C1,PS1,Dispute,12-04-2021 17:02
C1,PS1,Dispute,12-04-2021 18:10
C1,PS1,Dispute,12-04-2021 19:53
C1,PS1,Dispute,12-04-2021 21:55
C1,PS1,Information Against Police,12-04-2021 22:17
C1,PS1,Dispute,12-04-2021 22:18
C1,PS1,Dispute,12-04-2021 23:20
C1,PS1,Information Against Police,12-04-2021 23:29
C1,PS1,Threat In Person,13-04-2021 08:01
C1,PS1,Threat In Person,13-04-2021 09:32
C1,PS1,Threat In Person,13-04-2021 10:26
C1,PS1,Dispute,13-04-2021 12:42
C1,PS1,Dispute,13-04-2021 13:08
C1,PS1,Dispute,13-04-2021 19:29
C1,PS1,Dispute,13-04-2021 19:32
C1,PS1,Dispute,13-04-2021 20:12
C1,PS1,Theft,14-04-2021 09:57
C1,PS1,Missing,14-04-2021 10:25
C1,PS1,Encroachment,14-04-2021 11:55
C1,PS1,Threat In Person,14-04-2021 13:01
C1,PS1,Crime On Phone Mobile Social Media Internet,14-04-2021 13:12
C1,PS1,Dispute,14-04-2021 15:13
C1,PS1,Female Sexual Harrassment,14-04-2021 16:37
C1,PS1,Pollution,15-04-2021 02:46
C1,PS1,Dispute,15-04-2021 09:25
C1,PS1,Dispute,15-04-2021 11:51
C1,PS1,Domestic Violence,15-04-2021 13:57
C1,PS1,Domestic Violence,15-04-2021 13:59
C1,PS1,Dispute,15-04-2021 14:10
C1,PS1,Dispute,15-04-2021 16:47
C1,PS1,Information Against Other Government Departments,15-04-2021 21:16
C1,PS1,Gambling,15-04-2021 21:19
C1,PS1,Dispute,15-04-2021 22:39
C1,PS1,Dispute,16-04-2021 09:24
C1,PS1,Theft,16-04-2021 13:35
C1,PS1,Threat In Person,16-04-2021 15:00
C1,PS1,Threat In Person,16-04-2021 17:40
C1,PS1,Dispute,16-04-2021 18:37
C1,PS1,Information Against Police,16-04-2021 19:37
C1,PS1,Threat In Person,16-04-2021 21:44
C1,PS1,Threat In Person,16-04-2021 21:50
C1,PS1,Dispute,16-04-2021 23:06
C1,PS1,Theft,17-04-2021 08:31
C1,PS1,Domestic Violence,17-04-2021 08:38
C1,PS1,Dispute,17-04-2021 08:39
C1,PS1,Domestic Violence,17-04-2021 10:14
C1,PS1,Dispute,17-04-2021 12:26
C1,PS1,Theft,17-04-2021 13:42
C1,PS1,Property Disputes,17-04-2021 14:33
C1,PS1,Dispute,17-04-2021 14:45
C1,PS1,Threat In Person,17-04-2021 15:44
C1,PS1,Dispute,17-04-2021 18:25
C1,PS1,Illegal Mining,17-04-2021 22:56
C1,PS1,Information Against Police,17-04-2021 22:57
C1,PS1,Dispute,18-04-2021 03:46
C1,PS1,Domestic Violence,18-04-2021 14:15
C1,PS1,Pollution,18-04-2021 22:38
C1,PS1,Pollution,18-04-2021 22:56
C1,PS1,Medium Fire,19-04-2021 15:31
C1,PS1,Dispute,19-04-2021 18:44
C1,PS1,Threat In Person,20-04-2021 06:10
C1,PS1,Dispute,20-04-2021 10:02
C1,PS1,Animals Related,20-04-2021 14:50
C1,PS1,Dispute,20-04-2021 14:54
C1,PS1,Domestic Violence,20-04-2021 19:39
C1,PS1,Dispute,20-04-2021 20:32
C1,PS1,Dispute,20-04-2021 22:37
C1,PS1,Dispute,20-04-2021 22:52
C1,PS1,Dispute,21-04-2021 00:27
C1,PS1,Threat In Person,21-04-2021 06:41
C1,PS1,Theft,21-04-2021 09:24
C1,PS1,Dispute,21-04-2021 17:21
C1,PS1,Domestic Violence,21-04-2021 18:01
C1,PS1,Dispute,21-04-2021 21:46
C1,PS1,Dispute,22-04-2021 01:08
C1,PS1,Dispute,22-04-2021 14:14
C1,PS1,Threat In Person,22-04-2021 22:03
C1,PS1,Cyber Crimes,23-04-2021 13:53
C1,PS1,Crime On Phone Mobile Social Media Internet,23-04-2021 17:11
C1,PS1,Dispute,23-04-2021 18:21
C1,PS1,Child Crime(Sexual Abuse),23-04-2021 19:46
C1,PS1,Dispute,23-04-2021 20:15
C1,PS1,Dispute,23-04-2021 21:03
C1,PS1,Gambling,24-04-2021 07:24
C1,PS1,Crime On Phone Mobile Social Media Internet,24-04-2021 07:43
C1,PS1,Dispute,24-04-2021 16:41
C1,PS1,Dispute,25-04-2021 00:45
C1,PS1,Found Deadbody,25-04-2021 09:08
C1,PS1,Threat In Person,26-04-2021 01:20
C1,PS1,Suspicious Object Information,26-04-2021 07:33
C1,PS1,Threat On Phone Email Social Media,26-04-2021 12:18
C1,PS1,Dacoity,26-04-2021 14:38
C1,PS1,Theft,26-04-2021 22:06
C1,PS1,Domestic Violence,27-04-2021 08:33
C1,PS1,Threat In Person,27-04-2021 08:58
C1,PS1,Dispute,27-04-2021 09:08
C1,PS1,Domestic Violence,27-04-2021 13:20
C1,PS1,Theft,27-04-2021 15:15
C1,PS1,Domestic Violence,27-04-2021 18:23
C1,PS1,Domestic Violence,27-04-2021 18:33
C1,PS1,Domestic Violence,27-04-2021 20:38
C1,PS1,Dispute,27-04-2021 21:44
C1,PS1,Dispute,27-04-2021 22:12
C1,PS1,Domestic Violence,28-04-2021 13:36
C1,PS1,Information Against Police,28-04-2021 13:37
C1,PS1,Dispute,28-04-2021 18:47
C1,PS1,Dispute,28-04-2021 20:10
C1,PS1,Threat In Person,28-04-2021 23:03
C1,PS1,Theft,29-04-2021 04:32
C1,PS1,Found Deadbody,29-04-2021 07:10
C1,PS1,Attempted Murder,29-04-2021 22:49
C1,PS1,Dispute,30-04-2021 10:44
C1,PS1,Theft,30-04-2021 17:13
C1,PS1,Dispute,30-04-2021 18:34
C1,PS1,Threat In Person,30-04-2021 21:32
C1,PS1,Crime On Phone Mobile Social Media Internet,30-04-2021 22:00
C1,PS1,Suspicious Person Information,30-04-2021 23:26
C1,PS1,Theft,01-05-2021 06:00
C1,PS1,Crime On Phone Mobile Social Media Internet,01-05-2021 12:12
C1,PS1,Domestic Violence,01-05-2021 12:29
C1,PS1,Dispute,01-05-2021 13:38
C1,PS1,Dispute,01-05-2021 14:15
C1,PS1,Domestic Violence,01-05-2021 14:25
C1,PS1,Domestic Violence,01-05-2021 16:34
C1,PS1,Dispute,01-05-2021 19:19
C1,PS1,Threat In Person,01-05-2021 20:11
C1,PS1,Dispute,01-05-2021 20:28
C1,PS1,Domestic Violence,01-05-2021 20:59
C1,PS1,Female Sexual Harrassment,01-05-2021 22:35
C1,PS1,Illegal Mining,02-05-2021 03:36
C1,PS1,Theft,02-05-2021 07:20
C1,PS1,Forgery,03-05-2021 08:36
C1,PS1,Dispute,03-05-2021 16:56
C1,PS1,Attempted Murder,03-05-2021 21:04
C1,PS1,Missing,03-05-2021 22:10
C1,PS1,Domestic Violence,04-05-2021 21:24
C1,PS1,Domestic Violence,04-05-2021 22:10
C1,PS1,Found Deadbody,05-05-2021 13:19
C1,PS1,Dispute,05-05-2021 20:46
C1,PS1,Dispute,05-05-2021 23:33
C1,PS1,Dispute,06-05-2021 01:49
C1,PS1,Dispute,06-05-2021 02:43
C1,PS1,Dispute,06-05-2021 09:25
C1,PS1,Dispute,06-05-2021 19:37
C1,PS1,Robbery,06-05-2021 20:37
C1,PS1,Dispute,07-05-2021 10:47
C1,PS1,Threat In Person,07-05-2021 14:26
C1,PS1,Dispute,07-05-2021 14:35
C1,PS1,Information Against Police,07-05-2021 14:36
C1,PS1,Pollution,07-05-2021 16:43
C1,PS1,Pollution,07-05-2021 17:10
C1,PS1,Dispute,08-05-2021 19:39
C1,PS1,Theft,08-05-2021 20:26
C1,PS1,Missing,09-05-2021 14:20
C1,PS1,Dispute,10-05-2021 16:19
C1,PS1,Gambling,10-05-2021 18:25
C1,PS1,Domestic Violence,10-05-2021 19:35
C1,PS1,Threat In Person,11-05-2021 17:22
C1,PS1,Domestic Violence,13-05-2021 05:16
C1,PS1,Dispute,13-05-2021 07:29
C1,PS1,Dispute,13-05-2021 12:13
C1,PS1,Gambling,13-05-2021 14:50
C1,PS1,Dispute,13-05-2021 17:10
C1,PS1,Dispute,13-05-2021 18:37
C1,PS1,Theft,13-05-2021 19:27
C1,PS1,Dispute,13-05-2021 22:14
C1,PS1,Suspicious Person Information,14-05-2021 02:53
C1,PS1,Threat In Person,14-05-2021 07:54
C1,PS1,Female Harrassment,14-05-2021 13:17
C1,PS1,Dispute,14-05-2021 14:10
C1,PS1,Dispute,14-05-2021 15:32
C1,PS1,Dispute,14-05-2021 16:30
C1,PS1,Gambling,14-05-2021 16:31
C1,PS1,Threat In Person,14-05-2021 17:28
C1,PS1,Kidnap,14-05-2021 21:44
C1,PS1,Animals Related,14-05-2021 21:58
C1,PS1,Dispute,14-05-2021 22:33
C1,PS1,Theft,14-05-2021 22:36
C1,PS1,Animals Related,14-05-2021 22:51
C1,PS1,Theft,15-05-2021 13:35
C1,PS1,Information Against Police,15-05-2021 16:50
C1,PS1,Dispute,15-05-2021 16:51
C1,PS1,Dispute,15-05-2021 19:38
C1,PS1,Gambling,15-05-2021 22:29
C1,PS1,Crime On Phone Mobile Social Media Internet,15-05-2021 23:39
C1,PS1,Animals Related,15-05-2021 23:44
C1,PS1,Domestic Violence,16-05-2021 05:01
C1,PS1,Dispute,16-05-2021 08:15
C1,PS1,Threat In Person,16-05-2021 13:40
C1,PS1,Gambling,16-05-2021 17:13
C1,PS1,Dispute,16-05-2021 17:57
C1,PS1,Dispute,16-05-2021 19:31
C1,PS1,Excise Act Offenses,16-05-2021 20:04
C1,PS1,Domestic Violence,16-05-2021 20:27
C1,PS1,Female Sexual Harrassment,16-05-2021 20:33
C1,PS1,Domestic Violence,17-05-2021 07:44
C1,PS1,Domestic Violence,17-05-2021 10:47
C1,PS1,Domestic Violence,17-05-2021 11:35
C1,PS1,Theft,17-05-2021 11:39
C1,PS1,Property Disputes,17-05-2021 15:23
C1,PS1,Dispute,17-05-2021 16:11
C1,PS1,Found Deadbody,17-05-2021 18:53
C1,PS1,Accident,17-05-2021 19:03
C1,PS1,Domestic Violence,17-05-2021 22:25
C1,PS1,Domestic Violence,17-05-2021 23:50
C1,PS1,Dispute,18-05-2021 18:36
C1,PS1,Domestic Violence,19-05-2021 00:19
C1,PS1,Domestic Violence,19-05-2021 02:03
C1,PS1,Dispute,19-05-2021 05:59
C1,PS1,Crime On Phone Mobile Social Media Internet,19-05-2021 15:41
C1,PS1,Domestic Violence,19-05-2021 17:50
C1,PS1,Cyber Crimes,19-05-2021 19:53
C1,PS1,Domestic Violence,19-05-2021 22:01
C1,PS1,Dispute,19-05-2021 22:22
C1,PS1,Dispute,20-05-2021 08:54
C1,PS1,Dispute,20-05-2021 08:56
C1,PS1,Crime On Phone Mobile Social Media Internet,20-05-2021 12:51
C1,PS1,Dispute,20-05-2021 15:03
C1,PS1,Dispute,20-05-2021 16:53
C1,PS1,Dispute,20-05-2021 17:29
C1,PS1,Threat In Person,20-05-2021 21:10
C1,PS1,Threat In Person,20-05-2021 22:23
